age_group,date,J12_J18,NoPCV,pop,A00_A09,A15_A19,A20_A28,A30_49,A50_A64,A65_A69,A70_A74,A75_A79,A80_A89,A90_A99,B00_B09,B15_B19,B20_B24,B25_B34,B35_B49,B50_B64,B65_B83,B85_B89,B90_B94,B95_B98,B99_B99,C00_C97,D00_D09,D10_D36,D37_D48,D50_D53,D55_D59,D60_D64,D65_D69,D70_D77,D80_D89,E00_E07,E10_E14,E15_E16,E20_E35,E40_E46,E50_E64,E65_E68,E70_E90,F00_99,G00_G09,G10_G14,G20_G26,G30_G32,G35_G37,G40_G47,G50_G59,G60_G64,G70_G73,G80_G83,G90_G99,H00_H06,H10_H13,H15_H22,H25_H28,H30_H36,H40_H42,H43_H45,H46_H48,H49_H52,H53_H54,H55_H59,H60_H62,H65_H75,H80_H83,H90_H95,I00_I02,I05_I09,I10_I15,I20_I25,I26_I28,I30_I52,I60_69,I70_I79,I80_I89,I95_I99,J00_J06,J09_J18,J20_J22,J30_J39,J40_J47,J60_J70,J80_J84,J85_J86,J90_J94,J95_J99,K00_K14,K20_K31,K35_K38,K40_K46,K50_K52,K55_K63,K65_K67,K70_K77,K80_K87,K90_K93,L00_L08,L10_L14,L20_L30,L40_L45,L50_L54,L55_L59,L60_L75,L80_L99,M00_M25,M30_M36,M40_M54,M60_M79,M80_M94,M95_M99,N00_N08,N10_N16,N17_N19,N20_N23,N25_N29,N30_N39,N40_N51,N60_N64,N70_N77,N80_N98,N99_N99,O00_99,P00_P04,P05_P08,P10_P15,P20_P29,P35_P39,P50_P61,P70_P74,P75_P78,P80_P83,P90_P96,Q00_Q07,Q10_Q18,Q20_Q28,Q30_Q34,Q35_Q37,Q38_Q45,Q50_Q56,Q60_Q64,Q65_Q79,Q80_Q89,Q90_Q99,R00_R09,R10_R19,R20_R23,R25_R29,R30_R39,R40_R46,R47_R49,R50_R69,R70_R79,R80_R82,R83_R89,R90_R94,R95_R99,S00_S09,S10_S19,S20_S29,S30_S39,S40_S49,S50_S59,S60_S69,S70_S79,S80_S89,S90_S99,T00_T07,T08_T14,T15_T19,T20_T32,T33_T35,T36_T50,T51_T65,T66_T78,T79_T79,T80_T88,T90_T98,V01_X59,X60_X84,X85_Y09,Y10_Y99,Z00_Z13,Z20_Z29,Z30_Z39,Z40_Z54,Z55_Z65,Z70_Z76,Z80_Z99
3-<12mo_high,1/1/2004,131,870,4367040.076,122,1,0,76,0,0,0,0,0,0,2,1,7,0,1,5,0,0,0,0,0,11,0,0,0,2,1,4,2,0,5,0,0,0,0,51,1,0,12,0,24,5,0,0,0,0,0,2,2,5,23,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,4,32,5,0,0,0,1,131,17,2,8,9,4,2,0,31,0,6,0,2,2,9,0,9,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,3,1,0,0,0,0,0,9,5,0,33,6,2,1,6,0,3,26,0,131,9,0,16,0,4,3,15,21,12,0,0,0,0,0,0,2,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,6,15,0,0,0,0,0,0,0
3-<12mo_high,4/1/2004,195,1068,4354605.12,125,6,0,78,0,0,0,0,2,0,1,1,9,2,3,5,1,1,1,0,0,19,0,0,0,3,2,13,3,2,4,0,1,0,2,81,0,0,13,0,37,5,0,0,0,7,0,1,0,16,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,18,5,1,1,0,3,195,45,4,11,20,6,1,5,22,0,3,0,0,2,4,2,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,5,0,0,0,0,0,0,10,2,0,36,9,0,0,5,1,4,37,0,148,22,1,19,0,3,9,10,44,13,0,0,0,0,0,0,1,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,16,0,0,0,0,0,0,0
3-<12mo_high,7/1/2004,181,1034,4341397.669,134,2,0,96,1,0,0,0,3,0,2,1,17,0,4,5,1,0,1,0,0,10,0,3,0,1,3,3,0,2,1,1,0,0,1,48,0,0,14,0,42,5,0,0,0,6,0,1,3,12,33,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,26,3,0,0,0,1,181,29,4,9,23,8,1,3,34,0,12,0,4,0,6,4,6,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,1,0,0,0,0,0,11,1,0,35,9,1,1,5,0,3,39,0,167,21,1,17,0,1,6,11,34,6,0,0,0,0,0,0,3,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,3,17,0,0,0,0,0,0,0
3-<12mo_high,10/1/2004,148,786,4327442.017,82,3,0,80,0,0,0,0,1,0,5,2,7,1,1,4,1,0,0,0,0,14,0,2,1,2,5,3,3,0,4,0,0,0,1,39,0,1,4,0,23,2,0,2,0,2,0,1,2,6,24,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,36,2,0,1,0,3,149,14,2,8,13,9,1,2,31,0,9,1,2,3,5,3,6,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,5,0,0,0,0,0,0,9,2,0,27,13,0,0,9,0,3,32,0,115,22,2,14,0,7,5,11,19,9,0,0,0,0,0,0,3,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,3,17,0,0,0,0,0,0,0
3-<12mo_high,1/1/2005,102,822,4312762.457,81,0,0,76,0,0,0,0,0,0,4,0,9,5,0,5,0,0,0,0,0,16,0,2,0,1,5,4,8,1,3,1,1,0,1,58,0,0,9,0,27,3,0,1,0,1,1,1,0,11,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,29,2,1,0,0,1,102,15,1,7,12,8,0,4,19,0,6,0,3,2,7,1,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,4,0,0,0,0,0,0,9,5,0,22,5,2,0,4,0,3,45,0,135,12,0,10,0,1,9,9,33,8,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,5,13,0,0,0,0,0,0,0
3-<12mo_high,4/1/2005,183,1012,4297383.282,110,1,0,103,1,0,0,0,2,1,1,1,14,3,1,3,2,0,0,0,0,17,0,2,3,2,1,9,7,2,0,0,0,0,4,57,1,0,9,0,38,3,0,0,0,3,2,3,0,15,24,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,36,5,0,0,0,3,183,37,0,12,12,7,0,6,30,0,5,0,1,1,9,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,11,3,0,39,11,0,0,0,1,3,55,0,141,20,1,15,0,4,5,10,30,10,0,0,0,0,0,0,3,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,3,21,0,0,0,0,0,0,0
3-<12mo_high,7/1/2005,173,946,4281328.785,125,2,0,92,1,0,0,0,3,0,8,2,7,2,2,4,1,0,0,0,0,16,0,0,1,0,0,5,6,1,5,0,1,0,1,49,0,0,10,0,43,1,0,1,0,4,0,3,2,8,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,7,25,5,0,0,0,2,173,26,1,9,26,3,1,4,38,0,2,0,1,0,9,1,10,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,3,3,3,31,4,1,0,3,0,3,35,0,133,26,4,20,0,3,6,6,34,11,0,0,0,0,0,0,4,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,6,28,0,0,0,0,0,0,0
3-<12mo_high,10/1/2005,95,791,4264623.261,60,1,0,71,0,0,0,0,0,0,5,1,9,3,3,4,0,0,0,0,0,18,0,3,1,2,2,5,4,0,1,1,0,0,0,26,0,0,11,0,25,2,0,0,0,2,0,0,1,8,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,28,4,0,0,1,3,95,21,0,6,19,2,0,1,23,0,2,0,0,2,6,3,6,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,9,3,0,31,12,0,0,1,1,7,33,0,133,16,1,23,0,2,9,10,32,7,0,0,0,0,0,0,1,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,4,12,0,0,0,0,0,0,0
3-<12mo_high,1/1/2006,110,737,4247291.001,72,0,0,59,1,0,0,0,5,0,2,0,7,0,0,5,2,0,0,0,0,16,0,0,2,0,1,5,1,1,2,0,2,0,0,18,1,0,10,0,24,1,0,1,0,4,1,3,4,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,32,2,0,0,0,1,110,5,0,4,13,4,0,3,18,0,7,1,0,2,8,2,6,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,2,1,0,0,0,0,0,6,0,0,26,8,4,0,6,0,0,29,0,131,10,2,18,0,2,11,16,28,10,0,0,0,0,0,0,2,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,2,8,0,0,0,0,0,0,0
3-<12mo_high,4/1/2006,180,993,4229356.299,103,0,0,74,0,0,0,0,3,0,0,0,7,4,0,3,0,0,0,0,1,20,0,0,2,2,2,5,4,1,4,0,2,0,1,37,0,0,18,0,49,1,0,3,0,6,2,0,2,7,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,34,5,1,1,0,2,180,34,4,10,21,5,6,4,27,0,11,2,0,1,4,4,4,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,4,0,0,3,0,0,0,0,0,0,7,3,0,52,15,2,1,3,0,2,39,0,157,20,1,26,0,2,7,11,43,10,1,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,7,18,0,0,0,0,0,0,0
