age_group,date,J12_J18,NoPCV,pop,A00_A09,A15_A19,A20_A28,A30_49,A50_A64,A65_A69,A70_A74,A75_A79,A80_A89,A90_A99,B00_B09,B15_B19,B20_B24,B25_B34,B35_B49,B50_B64,B65_B83,B85_B89,B90_B94,B95_B98,B99_B99,C00_C97,D00_D09,D10_D36,D37_D48,D50_D53,D55_D59,D60_D64,D65_D69,D70_D77,D80_D89,E00_E07,E10_E14,E15_E16,E20_E35,E40_E46,E50_E64,E65_E68,E70_E90,F00_99,G00_G09,G10_G14,G20_G26,G30_G32,G35_G37,G40_G47,G50_G59,G60_G64,G70_G73,G80_G83,G90_G99,H00_H06,H10_H13,H15_H22,H25_H28,H30_H36,H40_H42,H43_H45,H46_H48,H49_H52,H53_H54,H55_H59,H60_H62,H65_H75,H80_H83,H90_H95,I00_I02,I05_I09,I10_I15,I20_I25,I26_I28,I30_I52,I60_69,I70_I79,I80_I89,I95_I99,J00_J06,J09_J18,J20_J22,J30_J39,J40_J47,J60_J70,J80_J84,J85_J86,J90_J94,J95_J99,K00_K14,K20_K31,K35_K38,K40_K46,K50_K52,K55_K63,K65_K67,K70_K77,K80_K87,K90_K93,L00_L08,L10_L14,L20_L30,L40_L45,L50_L54,L55_L59,L60_L75,L80_L99,M00_M25,M30_M36,M40_M54,M60_M79,M80_M94,M95_M99,N00_N08,N10_N16,N17_N19,N20_N23,N25_N29,N30_N39,N40_N51,N60_N64,N70_N77,N80_N98,N99_N99,O00_99,P00_P04,P05_P08,P10_P15,P20_P29,P35_P39,P50_P61,P70_P74,P75_P78,P80_P83,P90_P96,Q00_Q07,Q10_Q18,Q20_Q28,Q30_Q34,Q35_Q37,Q38_Q45,Q50_Q56,Q60_Q64,Q65_Q79,Q80_Q89,Q90_Q99,R00_R09,R10_R19,R20_R23,R25_R29,R30_R39,R40_R46,R47_R49,R50_R69,R70_R79,R80_R82,R83_R89,R90_R94,R95_R99,S00_S09,S10_S19,S20_S29,S30_S39,S40_S49,S50_S59,S60_S69,S70_S79,S80_S89,S90_S99,T00_T07,T08_T14,T15_T19,T20_T32,T33_T35,T36_T50,T51_T65,T66_T78,T79_T79,T80_T88,T90_T98,V01_X59,X60_X84,X85_Y09,Y10_Y99,Z00_Z13,Z20_Z29,Z30_Z39,Z40_Z54,Z55_Z65,Z70_Z76,Z80_Z99
3-<12mo,1/1/2004,299,2237,7049160.721,514,1,0,193,1,0,0,0,1,0,4,3,10,0,2,15,1,1,0,0,0,16,0,0,0,8,8,26,5,0,5,1,1,0,3,188,2,0,19,0,43,7,0,1,0,1,0,4,3,8,34,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,5,52,6,0,0,0,3,301,25,2,11,18,13,4,5,68,0,9,0,3,5,12,4,12,0,4,7,0,1,0,1,0,0,0,0,0,0,0,1,0,2,3,9,0,0,6,1,0,0,0,0,0,14,7,0,59,18,4,3,9,1,11,49,0,193,10,1,23,0,7,6,24,30,33,0,0,0,0,0,0,5,0,0,0,0,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,8,21,0,0,0,0,0,0,0
3-<12mo,4/1/2004,365,2071,7026295.045,308,7,0,168,0,0,0,0,5,0,1,1,11,5,3,16,1,1,2,0,1,30,0,0,0,14,5,40,7,2,5,0,4,0,3,217,1,0,19,0,52,6,0,1,0,8,0,2,0,19,43,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,5,0,7,34,7,1,1,0,6,366,52,4,20,27,12,1,7,64,0,6,0,2,4,12,2,8,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,1,7,0,0,0,0,0,0,24,5,1,62,18,2,0,7,3,8,56,0,217,25,2,27,0,4,12,13,53,28,0,0,0,0,0,0,5,0,0,0,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,3,23,0,0,0,0,0,0,0
3-<12mo,7/1/2004,334,1922,7002307.139,306,4,0,189,2,0,0,0,3,0,2,1,20,2,4,8,1,0,1,0,2,19,0,4,0,6,8,16,1,2,2,1,1,0,2,140,0,0,17,0,59,7,0,0,0,8,1,3,3,17,42,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0,4,53,6,1,0,0,4,337,39,5,18,31,9,1,6,68,0,16,0,4,3,8,5,10,2,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,1,3,1,0,0,0,0,0,25,7,0,71,15,2,3,7,0,5,50,0,219,27,3,23,0,3,6,20,46,25,0,1,0,0,0,0,10,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,4,21,0,0,0,0,0,0,0
3-<12mo,10/1/2004,283,1616,6977224.806,262,3,0,165,0,0,0,0,1,0,8,2,10,1,2,9,2,0,0,0,0,19,0,3,1,5,6,14,5,0,4,0,0,1,2,125,0,1,9,0,39,3,0,4,0,4,0,2,2,17,33,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,3,55,4,0,2,0,5,284,23,2,15,20,9,1,7,53,0,10,1,3,6,9,5,8,0,5,2,0,0,0,1,0,0,1,0,2,0,0,0,0,1,1,5,0,1,6,0,0,0,0,0,0,14,6,0,64,19,0,0,10,0,6,46,0,167,22,2,18,0,8,7,12,27,19,0,0,0,0,0,0,9,0,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,5,21,0,0,0,0,0,0,0
3-<12mo,1/1/2005,243,1740,6951075.849,331,1,0,170,0,0,0,0,0,0,5,0,11,7,0,9,0,0,0,0,2,22,0,3,0,7,6,18,12,2,3,1,1,0,1,156,0,0,15,0,49,3,0,1,0,3,2,2,0,14,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,5,51,2,1,0,0,3,245,25,1,16,20,10,3,5,43,0,10,1,4,8,15,4,11,3,2,3,0,0,0,1,0,0,0,0,0,0,0,1,0,3,3,4,0,0,5,0,0,0,0,0,0,19,6,0,41,9,3,2,6,0,9,60,0,197,14,1,24,0,3,14,13,50,25,0,0,0,0,0,0,6,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,7,19,0,0,0,0,0,0,0
3-<12mo,4/1/2005,384,2097,6923888.074,386,3,0,194,1,0,1,0,2,1,1,2,17,3,1,12,2,1,0,0,0,25,0,2,3,14,3,33,7,2,0,0,3,0,6,200,3,0,15,0,63,4,0,0,0,6,4,6,1,26,40,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,58,9,0,0,0,5,386,49,0,24,24,12,1,7,66,1,7,0,2,2,13,8,12,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2,7,0,0,5,0,0,0,0,0,0,18,6,0,57,16,3,1,3,2,11,76,0,206,25,2,23,0,7,6,15,41,22,0,0,0,0,0,0,10,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,5,25,0,0,0,0,0,0,0
3-<12mo,7/1/2005,335,1899,6895689.282,408,2,0,188,1,0,0,0,4,0,8,4,7,3,2,11,1,3,0,0,0,25,0,1,1,8,4,26,11,2,5,0,2,1,1,155,0,0,17,0,60,3,0,1,0,10,0,4,2,12,29,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,10,43,8,0,0,1,2,336,36,1,21,37,3,2,9,76,0,3,0,2,2,20,2,14,2,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,8,0,2,4,0,0,0,0,0,0,8,5,3,57,9,4,0,4,0,11,53,0,189,29,4,29,0,5,8,13,44,22,0,0,0,0,0,0,7,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,12,32,0,0,0,0,0,0,0
3-<12mo,10/1/2005,222,1494,6866507.279,239,2,0,168,0,0,0,0,1,0,8,2,16,3,4,11,1,0,0,0,1,25,0,3,2,7,5,15,5,1,1,1,2,1,1,103,0,1,21,0,40,2,0,1,0,4,0,0,3,9,29,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,5,45,7,0,0,1,5,223,34,1,11,26,5,1,2,58,2,4,0,1,6,6,8,12,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,2,1,0,0,0,0,0,0,17,4,0,50,17,1,1,2,1,15,50,0,182,19,1,31,0,4,12,17,38,17,0,0,0,0,0,0,2,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,6,16,0,0,0,0,0,0,0
3-<12mo,1/1/2006,253,1520,6836369.867,300,3,0,124,1,0,0,0,6,0,6,1,11,0,1,14,3,0,0,0,2,23,0,0,4,4,5,21,5,2,2,0,3,0,2,82,2,0,36,0,41,1,1,1,1,7,2,3,7,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,6,46,3,0,0,0,2,254,11,0,7,16,7,1,4,37,0,8,1,2,3,12,3,14,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,1,3,1,0,0,0,0,0,7,2,0,39,13,4,4,8,0,4,46,0,189,14,3,28,0,4,12,19,39,19,0,0,0,0,0,0,14,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,5,11,0,0,0,0,0,0,0
3-<12mo,4/1/2006,354,1873,6805304.851,363,1,0,140,0,0,0,0,4,0,0,1,12,5,2,11,1,2,0,0,1,31,1,0,3,5,5,20,7,1,5,0,4,0,1,103,3,0,41,0,83,4,0,4,1,11,3,0,2,11,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,9,58,6,1,1,0,7,358,43,4,27,26,8,9,8,60,0,13,2,0,3,15,5,12,2,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,8,0,0,5,0,0,0,0,0,0,9,4,1,82,21,2,7,7,0,8,58,0,215,22,3,40,0,4,11,17,50,19,2,0,0,0,0,0,3,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,11,22,0,0,0,0,0,0,0
